pl_name,mass,vx,vy,vz,x,y,z,Cluster,centroid_mass,centroid_x,centroid_y,centroid_z
HD_149026_b,120.7754,-11.64522,25.96161,-9.74791,-0.00176,0.01463,0.04108,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_149806_b,4003.68444,1.32648,2.19623,0.3659,6.59334,-4.23139,1.49538,0,9333.03117,-5.00373,6.4406,-8.27413
HD_150706_b,772.32303,-1.73654,2.21684,-2.2771,-0.00815,2.97333,2.90085,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_151450_c,1636.18064,0.9733,1.23081,1.10728,6.77953,-9.18434,4.24978,0,9333.03117,-5.00373,6.4406,-8.27413
HD_15337_b,7.51,21.03591,-16.24359,14.1253,-0.0185,0.0125,0.04193,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_15337_c,8.11,-7.89237,5.40053,15.89534,-0.08162,0.06326,-0.06202,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_153557_d,8725.66109,1.5046,0.29278,0.38841,3.3389,-17.87158,0.53757,1,1102.6302929666667,-0.025847466666666624,0.05452856666666667,-0.016709300000000066
HD_154345_b,378.2158,1.32585,-1.80722,2.26602,-0.19819,-3.21169,-2.44546,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_154391_b,2892.2385,1.61918,-1.88733,1.3245,-2.34038,-4.35433,-3.34357,0,9333.03117,-5.00373,6.4406,-8.27413
HD_155193_b,238.37131,3.45685,6.7963,0.04313,0.73225,-0.3725,0.00907,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_155918_c,1878.04806,-1.56425,-0.22473,-0.97724,-1.55582,12.14402,-0.3023,0,9333.03117,-5.00373,6.4406,-8.27413
HD_156098_c,1661.60691,-2.14724,-2.25804,-1.00308,-3.28985,3.70712,-1.30272,0,9333.03117,-5.00373,6.4406,-8.27413
HD_156279_c,3098.82697,-0.82276,3.37045,-0.49241,0.91953,0.78968,3.86872,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_15906_b,5.65,6.60977,-4.2278,-22.03442,0.05868,-0.04752,0.02672,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_15906_c,8.91,-12.57888,10.10841,-6.55081,0.04167,-0.0294,-0.12539,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_160691_b,1366.66215,2.04324,3.80122,3.92703,0.47173,-0.99003,0.71287,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_160691_c,1398.44499,-0.02514,3.38244,0.30746,1.88951,-0.28027,3.23778,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_160691_e,2224.79885,-3.28612,-1.76338,-5.86446,-0.14876,0.84205,-0.16984,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_16175_b,1875.1876,-1.84169,6.35583,-5.54069,0.65937,-0.22881,-0.48164,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
