pl_name,ra,dec,pl_orbincl,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_orblper,pl_orbper,pl_Omega,vx,vy,vz,x,y,z
HD_72659_c,128.5128072,-1.5686323,14.279,5977.08102,13.959,0.091,256.504,18207.72098,78.89518938117473,0.75394,1.67772,-0.10605,11.16294,-5.20882,-3.04318
HD_73256_c,129.0949961,-30.0373339,29.0,5085.25451,3.8,0.16,300.0,2690.0,68.49933953190288,-0.33889,3.65909,0.91816,2.83447,0.5988,-1.34018
HD_73267_b,129.0735123,-34.4594469,130.843,1321.53052,2.229,0.261,228.102,1257.99159,58.44117127859475,0.09576,4.74334,-2.7773,-1.25899,-0.51767,-0.92754
HD_73267_c,129.0735123,-34.4594469,91.849,1630.77756,12.688,0.089,112.746,17071.78045,50.94108871762528,-1.13941,-1.36591,-0.74529,-2.54903,-3.68702,10.65427
HD_73344_b,129.6894456,23.6852651,88.082,10.48,0.131,0.03,153.891,15.611,50.326332991743165,-4.61207,-6.40258,-16.05424,-0.07429,-0.08663,0.05589
HD_73583_b,129.6883026,-13.2565267,88.37,10.2,0.0604,0.09,-76.0,6.398042,50.323092724384374,17.18546,21.01855,6.76633,0.00966,0.00927,-0.05331
HD_73583_c,129.6883026,-13.2565267,89.72,9.7,0.1242,0.08,-41.6,18.87974,50.31203362222637,8.13579,9.91434,14.44496,0.05485,0.06552,-0.07586
HD_74156_c,130.6047813,4.5772338,120.162,2753.98315,3.678,0.377,271.934,2448.48726,53.45474771418689,2.96503,3.8617,0.14212,-0.87837,0.74729,-1.98003
HD_7449_b,18.621465,-5.0479716,171.631,2597.9294,2.438,0.752,336.427,1270.55195,113.36198033838306,7.20741,7.77257,1.42681,-0.43936,0.41388,-0.03519
HD_75302_b,132.3015641,3.4850141,29.0,1716.2734,5.3,0.39,307.0,4356.0,66.19451044948394,-0.65597,3.88564,1.20204,2.85146,0.86863,-1.25177
HD_77946_b,136.777644,46.6724251,87.79,10.9,0.073,0.211,9.2,6.527363,43.24363165718815,-4.10678,-2.35687,28.41882,0.04117,0.03921,0.0092
HD_80606_b,140.6569501,50.6037764,89.29,1392.0954,0.4565,0.93,301.03,111.4367,39.34520677895856,32.16077,26.76901,25.16943,0.01295,0.01018,-0.02738
HD_80869_b,140.7912931,33.9048294,98.559,1609.80088,2.905,0.924,76.703,1752.92067,39.523358411617835,-13.51984,-11.97725,4.21856,0.05952,0.00765,0.21247
HD_80883_b,139.9331831,-59.4780815,141.312,1748.05624,6.462,0.203,231.408,6383.78352,53.381060142111885,0.22907,2.78695,-1.18402,-4.43818,-0.70422,-2.51622
