st_rotperr1,st_rotperr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13.099,0.01,,12.676,0.01,,,,,,,,,,
,,,,,,,,,,,,,,,,,14.75,,,,,
,,,,,,,,,,,,,,,,,14.59,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1.1,-1.1,15.5452,0.0052072,-0.0052072,14.3082,0.0040928,-0.0040928,15.1978,0.0123776,-0.0123776,14.0739,0.012555,-0.012555,13.7405,0.0045871,-0.0045871,,,,,,
,,15.9996,0.006682,-0.006682,14.716,0.0046719,-0.0046719,13.9355,0.00321,-0.00321,13.7711,0.0045686,-0.0045686,14.1142,0.0058786,-0.0058786,,,,,,
0.5,-0.5,,,,,,,,,,,,,,,,13.161,0.072,,,,
,,,,,,,,11.378,0.008,,10.924,0.017,,,,,,,,,,
,,,,,,,,11.378,0.008,,10.924,0.017,,,,,,,,,,
,,,,,,,,11.378,0.008,,10.924,0.017,,,,,,,,,,
,,,,,,,,14.27,,,13.41,,,,,,,,,,,
,,,,,,,,13.33,,,12.86,,,,,,,,,,,
,,15.5005,0.0047738,-0.0047738,14.1084,0.0033204,-0.0033204,13.6711,0.0064427,-0.0064427,16.6984,0.0169281,-0.0169281,13.4498,0.0041528,-0.0041528,,,,,,
,,15.6103,0.005221,-0.005221,14.887,0.0046495,-0.0046495,12.5088,0.0016891,-0.0016891,11.4455,0.0009081,-0.0009081,12.4303,0.0090482,-0.0090482,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.6366,0.0060151,-0.0060151,15.2471,0.00637,-0.00637,15.0711,0.01085,-0.01085,15.0094,0.0118301,-0.0118301,12.631,0.0058214,-0.0058214,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.5,-16.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.04,-0.05,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,15.673,,
,,19.7224,0.0290354,-0.0290354,17.0037,0.0042715,-0.0042715,15.5521,0.0037321,-0.0037321,14.5637,0.0036576,-0.0036576,14.0482,0.0040456,-0.0040456,,,,14.904,,
,,16.4425,0.0056302,-0.0056302,14.6644,0.0035064,-0.0035064,14.0904,0.0036851,-0.0036851,13.9361,0.0038987,-0.0038987,13.8685,0.0039611,-0.0039611,,,,14.219,,
,,17.4868,0.014049,-0.014049,15.5898,0.0079047,-0.0079047,13.759,0.0020067,-0.0020067,13.467,0.0042429,-0.0042429,14.0043,0.0076245,-0.0076245,,,,13.74,,
,,14.6843,0.0064615,-0.0064615,12.2644,0.001196,-0.001196,14.176,0.0100798,-0.0100798,11.579,0.000963,-0.000963,13.7205,0.0142418,-0.0142418,,,,11.678,,
,,14.8068,0.0067773,-0.0067773,14.4276,0.0077703,-0.0077703,14.6152,0.0103551,-0.0103551,13.7582,0.0105377,-0.0105377,13.1044,0.0076464,-0.0076464,,,,11.964,,
,,,,,,,,,,,,,,,,,,,,14.298,,
,,,,,,,,,,,,,,,,,,,,14.599,,
,,,,,,,,,,,,,,,,,,,,14.252,,
,,,,,,,,,,,,,,,,,,,,14.571,,
,,,,,,,,,,,,,,,,,,,,12.105,,
,,,,,,,,,,,,,,,,,,,,13.046,,
,,,,,,,,,,,,,,,,,,,,13.046,,
,,,,,,,,,,,,,,,,,,,,13.046,,
,,,,,,,,,,,,,,,,,,,,15.782,,
,,,,,,,,,,,,,,,,,,,,16.061,,
,,,,,,,,,,,,,,,,,,,,16.061,,
,,20.9776,0.12894,-0.12894,18.0959,0.0070587,-0.0070587,16.5649,0.0039952,-0.0039952,15.4462,0.0035488,-0.0035488,14.8072,0.0043312,-0.0043312,,,,15.598,,
,,16.678,0.0074948,-0.0074948,14.5456,0.0025126,-0.0025126,13.694,0.002872,-0.002872,13.4008,0.00244,-0.00244,13.2274,0.002882,-0.002882,,,,13.806,,
,,16.678,0.0074948,-0.0074948,14.5456,0.0025126,-0.0025126,13.694,0.002872,-0.002872,13.4008,0.00244,-0.00244,13.2274,0.002882,-0.002882,,,,13.806,,
1.1,-1.1,18.7883,0.0173117,-0.0173117,16.0775,0.0042864,-0.0042864,14.6609,0.004478,-0.004478,14.2621,0.0013171,-0.0013171,13.5182,0.0048475,-0.0048475,,,,14.568,,
,,,,,,,,,,,,,,,,,,,,10.115,,
,,,,,,,,,,,,,,,,,,,,14.138,,
,,,,,,,,,,,,,,,,,,,,14.138,,
,,,,,,,,,,,,,,,,,,,,13.26,,
,,,,,,,,,,,,,,,,,,,,13.236,,
,,,,,,,,,,,,,,,,,,,,12.188,,
,,,,,,,,,,,,,,,,,,,,12.188,,
,,,,,,,,,,,,,,,,,,,,13.868,,
,,,,,,,,,,,,,,,,,,,,13.868,,
,,,,,,,,,,,,,,,,,13.626,0.017,,14.461,,
,,,,,,,,,,,,,,,,,13.626,0.017,,14.461,,
,,16.314,0.0072598,-0.0072598,14.8641,0.005414,-0.005414,13.8038,0.0028427,-0.0028427,13.719,0.0039138,-0.0039138,13.6928,0.0059891,-0.0059891,,,,13.786,,
,,16.5176,0.009655,-0.009655,16.0253,0.0097658,-0.0097658,13.8864,0.0017642,-0.0017642,13.7799,0.0041549,-0.0041549,14.1107,0.0079528,-0.0079528,,,,13.723,,
,,14.7932,0.0057755,-0.0057755,12.6287,0.0010296,-0.0010296,12.0262,0.0009511,-0.0009511,11.8122,0.0010093,-0.0010093,12.9569,0.0066982,-0.0066982,,,,11.958,,
,,14.7932,0.0057755,-0.0057755,12.6287,0.0010296,-0.0010296,12.0262,0.0009511,-0.0009511,11.8122,0.0010093,-0.0010093,12.9569,0.0066982,-0.0066982,,,,11.958,,
,,,,,,,,,,,,,,,,,,,,14.925,,
,,,,,,,,,,,,,,,,,,,,10.151,,
,,15.2612,0.0128625,-0.0128625,11.7275,0.0005761,-0.0005761,11.3069,0.000574,-0.000574,11.1782,0.000427,-0.000427,11.3319,0.0017679,-0.0017679,,,,11.257,,
,,15.8687,0.0093011,-0.0093011,13.2377,0.0012834,-0.0012834,12.2009,0.0007049,-0.0007049,11.9699,0.0015929,-0.0015929,12.4164,0.0036328,-0.0036328,,,,12.171,,
10.0,-10.0,,,,,,,,,,,,,,,,,,,11.364,,
10.0,-10.0,,,,,,,,,,,,,,,,,,,11.364,,
10.0,-10.0,,,,,,,,,,,,,,,,,,,11.364,,
,,19.5013,0.0244909,-0.0244909,18.7296,0.0078505,-0.0078505,16.86,0.0049327,-0.0049327,14.7427,0.0043518,-0.0043518,13.0581,0.0035518,-0.0035518,,,,,,
,,16.1195,0.0074721,-0.0074721,14.6859,0.0078355,-0.0078355,13.332,0.0071085,-0.0071085,9.47306,0.0007687,-0.0007687,9.88556,0.001765,-0.001765,,,,,,
6.0,-6.0,,,,,,,,,,,,,,,,,,,,,
6.0,-6.0,,,,,,,,,,,,,,,,,,,,,
1.01,-0.94,17.28,0.0126585,-0.0126585,16.0466,0.0070923,-0.0070923,13.372,0.0014019,-0.0014019,12.135,0.0012724,-0.0012724,13.8174,0.0150014,-0.0150014,,,,12.771,,
15.0,-15.0,17.9265,0.0186525,-0.0186525,15.0685,0.0037045,-0.0037045,13.2885,0.0037944,-0.0037944,11.2165,0.0006869,-0.0006869,10.6024,0.0016867,-0.0016867,10.15,0.025,,12.16,,
15.0,-15.0,17.9265,0.0186525,-0.0186525,15.0685,0.0037045,-0.0037045,13.2885,0.0037944,-0.0037944,11.2165,0.0006869,-0.0006869,10.6024,0.0016867,-0.0016867,10.15,0.025,,12.16,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6.0,-5.0,,,,,,,,,,,,,,,,10.69,0.02,,,,
6.0,-5.0,,,,,,,,,,,,,,,,10.69,0.02,,,,
,,15.8989,0.0075382,-0.0075382,13.0181,0.0012658,-0.0012658,11.3972,0.0005751,-0.0005751,9.95576,0.0004924,-0.0004924,10.3189,0.0018118,-0.0018118,9.18,0.025,,,,
,,15.8989,0.0075382,-0.0075382,13.0181,0.0012658,-0.0012658,11.3972,0.0005751,-0.0005751,9.95576,0.0004924,-0.0004924,10.3189,0.0018118,-0.0018118,9.18,0.025,,,,
10.0,-10.0,16.4793,0.0072266,-0.0072266,15.3392,0.0062728,-0.0062728,12.7729,0.0019665,-0.0019665,11.0613,0.0004738,-0.0004738,10.6971,0.0022308,-0.0022308,10.17,0.025,,,,
5.0,-4.8,,,,,,,,,,,,,,,,11.52,0.1,,,,
4.0,-4.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,10.57,0.025,,12.25,,
,,,,,,,,,,,,,,,,,6.725,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,8.3,0.008,,,,
,,,,,,,,,,,,,,,,,9.31,0.01,,,,
,,,,,,,,,,,,,,,,,9.31,0.01,,,,
,,,,,,,,,,,,,,,,,9.31,0.01,,,,
,,,,,,,,,,,,,,,,,9.32,0.01,,,,
,,,,,,,,,,,,,,,,,8.68,0.008,,,,
,,,,,,,,,,,,,,,,,8.68,0.008,,,,
,,,,,,,,,,,,,,,,,8.68,0.008,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6.135,,,,,
,,,,,,,,,,,,,,,,,6.135,,,,,
2.0,-2.0,,,,,,,,,,,,,,,,9.2,0.01,,,,
1.9,-2.2,,,,,,,,,,,,,,,,7.5,0.025,,,,
,,,,,,,,,,,,,,,,,9.37,0.01,,,,
,,,,,,,,,,,,,,,,,7.17,,,,,
,,,,,,,,,,,,,,,,,7.17,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,8.98,0.021,,,,
,,,,,,,,,,,,,,,,,9.31,0.021,,,,
,,,,,,,,,,,,,,,,,9.14,0.025,,,,
,,,,,,,,,,,,,,,,,9.14,0.025,,,,
,,,,,,,,,,,,,,,,,9.14,0.025,,,,
,,,,,,,,,,,,,,,,,9.37,0.01,,,,
,,,,,,,,,,,,,,,,,9.37,0.01,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.5483,0.0100531,-0.0100531,10.8176,0.0003195,-0.0003195,13.1128,0.0093174,-0.0093174,12.5567,0.0094691,-0.0094691,9.35103,0.0010204,-0.0010204,8.21,0.008,,,,
,,15.5483,0.0100531,-0.0100531,10.8176,0.0003195,-0.0003195,13.1128,0.0093174,-0.0093174,12.5567,0.0094691,-0.0094691,9.35103,0.0010204,-0.0010204,8.21,0.008,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,9.2,0.025,,,,
,,,,,,,,,,,,,,,,,9.2,0.025,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.04,-0.04,,,,,,,,,,,,,,,,,,,,,
0.49,-0.49,15.9337,0.0067464,-0.0067464,15.4392,0.0101128,-0.0101128,11.8694,0.0008937,-0.0008937,10.7632,0.0004918,-0.0004918,10.575,0.0017872,-0.0017872,10.08,0.013,,,,
4.2,-4.2,16.895,0.0083254,-0.0083254,15.4319,0.0057415,-0.0057415,13.2912,0.002163,-0.002163,11.9009,0.0007628,-0.0007628,11.4704,0.0040229,-0.0040229,,,,,,
4.2,-4.2,16.895,0.0083254,-0.0083254,15.4319,0.0057415,-0.0057415,13.2912,0.002163,-0.002163,11.9009,0.0007628,-0.0007628,11.4704,0.0040229,-0.0040229,,,,,,
5.0,-5.0,,,,,,,,,,,,,,,,11.47,0.025,,,,
5.0,-5.0,,,,,,,,,,,,,,,,11.47,0.025,,,,
2.1,-2.1,,,,11.7,0.02,,10.34,0.09,,9.35,0.27,,,,,8.56,0.008,,,,
2.1,-2.1,,,,11.7,0.02,,10.34,0.09,,9.35,0.27,,,,,8.56,0.008,,,,
2.1,-2.1,,,,11.7,0.02,,10.34,0.09,,9.35,0.27,,,,,8.56,0.008,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.13,-0.13,,,,,,,,,,,,,,,,7.8,0.008,,,,
0.13,-0.13,,,,,,,,,,,,,,,,7.8,0.008,,,,
0.13,-0.13,,,,,,,,,,,,,,,,7.8,0.008,,,,
5.0,-5.0,16.4118,0.0087918,-0.0087918,14.2007,0.0028359,-0.0028359,12.5017,0.0010034,-0.0010034,11.014,0.0004065,-0.0004065,10.5377,0.0010832,-0.0010832,10.21,0.025,,,,
13.0,-13.0,16.2917,0.0070385,-0.0070385,15.161,0.0056437,-0.0056437,12.2405,0.0009209,-0.0009209,10.9214,0.0010055,-0.0010055,10.8516,0.0022196,-0.0022196,,,,,,
13.0,-13.0,16.2917,0.0070385,-0.0070385,15.161,0.0056437,-0.0056437,12.2405,0.0009209,-0.0009209,10.9214,0.0010055,-0.0010055,10.8516,0.0022196,-0.0022196,,,,,,
0.22,-0.21,15.4777,0.0089022,-0.0089022,10.5111,0.0004139,-0.0004139,9.069,0.0003941,-0.0003941,8.01548,0.0002402,-0.0002402,8.25557,0.0009448,-0.0009448,7.412,,,8.771,,
,,,,,,,,,,,,,,,,,,,,,,
3.0,-3.0,,,,,,,,,,,,,,,,,,,,,
,,15.023,0.0060295,-0.0060295,11.5001,0.0004609,-0.0004609,10.1539,0.0004375,-0.0004375,9.33367,0.0002527,-0.0002527,9.60667,0.0011641,-0.0011641,8.78,0.013,,,,
,,15.023,0.0060295,-0.0060295,11.5001,0.0004609,-0.0004609,10.1539,0.0004375,-0.0004375,9.33367,0.0002527,-0.0002527,9.60667,0.0011641,-0.0011641,8.78,0.013,,,,
0.27,-0.27,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6.74,0.025,,,,
,,,,,,,,,,,,,,,,,6.74,0.025,,,,
,,,,,,,,,,,,,,,,,9.13,0.01,,,,
1.2,-1.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7.65,0.021,,,,
,,,,,,,,,,,,,,,,,7.65,0.021,,,,
,,,,,,,,,,,,,,,,,7.65,0.021,,,,
0.08,-0.08,15.9785,0.0088957,-0.0088957,11.8123,0.0012887,-0.0012887,10.0822,0.0008513,-0.0008513,8.92183,0.0007445,-0.0007445,8.6612,0.0016192,-0.0016192,8.25,0.025,,,,
,,15.5431,0.0062212,-0.0062212,12.7368,0.0011822,-0.0011822,11.0811,0.0005675,-0.0005675,9.92578,0.0005707,-0.0005707,10.372,0.0016283,-0.0016283,9.24,0.025,,,,
,,15.3961,0.0056763,-0.0056763,12.5061,0.0010482,-0.0010482,11.0061,0.00064,-0.00064,9.75556,0.0005129,-0.0005129,9.32654,0.0009832,-0.0009832,8.982,,,,,
5.5,-5.5,,,,,,,,,,,,,,,,8.71,0.021,,,,
,,,,,,,,,,,,,,,,,4.555,,,,,
2.9,-2.9,15.0197,0.0076857,-0.0076857,9.91288,0.0004219,-0.0004219,8.46313,0.0005064,-0.0005064,7.75055,0.0004469,-0.0004469,7.93856,0.0012764,-0.0012764,7.01,0.025,,,,
1.33,-1.33,15.5263,0.0083157,-0.0083157,10.5559,0.0005145,-0.0005145,9.11933,0.0005576,-0.0005576,8.22387,0.000527,-0.000527,8.28909,0.0012562,-0.0012562,7.67,0.008,,,,
,,,,,,,,,,,,,,,,,8.03,0.008,,,,
,,,,,,,,,,,,,,,,,8.03,0.008,,,,
,,,,,,,,,,,,,,,,,8.03,0.008,,,,
5.5,-5.5,14.6308,0.0050177,-0.0050177,11.0986,0.000428,-0.000428,9.53812,0.0002688,-0.0002688,8.51304,0.0001562,-0.0001562,8.78047,0.0007214,-0.0007214,7.88,0.017,,,,
0.34,-0.35,,,,,,,,,,,,,,,,7.63,0.025,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6.969,,,,,
,,,,,,,,,,,,,,,,,7.73,0.008,,,,
,,,,,,,,,,,,,,,,,7.73,0.008,,,,
,,,,,,,,,,,,,,,,,7.73,0.008,,,,
,,,,,,,,,,,,,,,,,7.73,0.008,,,,
,,,,,,,,,,,,,,,,,7.88,0.008,,,,
,,,,,,,,,,,,,,,,,8.16,0.008,,,,
,,,,,,,,,,,,,,,,,8.16,0.008,,,,
0.15,-0.16,14.5112,0.0045953,-0.0045953,10.9546,0.000563,-0.000563,9.4399,0.0003375,-0.0003375,8.72079,0.0003863,-0.0003863,8.58293,0.0008492,-0.0008492,8.0,0.025,,,,
,,,,,,,,,,,,,,,,,6.67,0.025,,,,
,,,,,,,,,,,,,,,,,6.67,0.025,,,,
1.38,-1.44,,,,,,,,,,,,,,,,8.0,0.025,,,,
1.0,-1.0,,,,,,,,,,,,,,,,8.56,0.008,,,,
0.07,-0.07,,,,,,,,,,,,,,,,7.33,0.008,,,,
6.7,-6.8,,,,,,,,,,,,,,,,8.57,0.025,,,,
6.7,-6.8,,,,,,,,,,,,,,,,8.57,0.025,,,,
,,,,,,,,,,,,,,,,,6.48,,,,,
0.19,-0.18,,,,,,,,,,,,,,,,7.87,0.008,,,,
0.19,-0.18,,,,,,,,,,,,,,,,7.87,0.008,,,,
,,,,,,,,,,,,,,,,,5.24,,,,,
,,,,,,,,,,,,,,,,,7.48,0.021,,9.131,,
,,,,,,,,,,,,,,,,,7.48,0.021,,9.131,,
,,,,,,,,,,,,,,,,,7.48,0.021,,9.131,,
,,,,,,,,,,,,,,,,,7.48,0.021,,9.131,,
,,,,,,,,,,,,,,,,,5.315,,,,,
,,,,,,,,,,,,,,,,,5.315,,,,,
,,15.048,0.00718,-0.00718,12.7117,0.0024423,-0.0024423,11.574,0.0038149,-0.0038149,11.3945,0.0054257,-0.0054257,7.76319,0.0013042,-0.0013042,7.42,0.025,,,,
,,,,,,,,,,,,,,,,,7.9,0.008,,,,
0.02,-0.02,,,,,,,,,,,,,,,,9.15,0.025,,,,
0.1,-0.1,15.4567,0.0083853,-0.0083853,11.5138,0.0005179,-0.0005179,10.0977,0.000443,-0.000443,9.35334,0.0003257,-0.0003257,9.69489,0.0011979,-0.0011979,8.75,0.025,,,,
2.8,-2.8,,,,,,,,,,,,,,,,,,,,,
0.39,-0.38,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7.9,0.008,,,,
